,metabolite,intensity,temperature,strain
0,xanthine,879,30,WT
1,valine,350124,30,WT
2,uridine-5'-monophosphate,3724,30,WT
3,uridine,637,30,WT
4,urea,13551,30,WT
5,uracil,3852,30,WT
6,UDP-N-acetylglucosamine,1464,30,WT
7,tyrosol,1850,30,WT
8,tyrosine,144049,30,WT
9,tryptophan,9828,30,WT
10,trehalose-6-phosphate,360,30,WT
11,trehalose,378653,30,WT
12,trans-4-hydroxyproline,8203,30,WT
13,thymine,376,30,WT
14,threonine,114190,30,WT
15,sulfuric acid,740,30,WT
16,sucrose,264,30,WT
17,succinic acid,20147,30,WT
18,stearic acid,269117,30,WT
19,spermidine,3421,30,WT
20,sorbitol,652,30,WT
21,serine,147802,30,WT
22,saccharopine,15501,30,WT
23,ribonic acid,370,30,WT
24,ribitol,535,30,WT
25,pyruvic acid,375,30,WT
26,pyrophosphate ,113979,30,WT
27,putrescine,2763,30,WT
28,pseudo uridine,1490,30,WT
29,"propane-1,3-diol NIST",481,30,WT
30,proline,439910,30,WT
31,pipecolinic acid,3061,30,WT
32,phosphogluconic acid,881,30,WT
33,phosphoenolpyruvate,846,30,WT
34,phosphate,30283,30,WT
35,phenylalanine,120304,30,WT
36,pentadecanoic acid,1933,30,WT
37,pelargonic acid,16195,30,WT
38,parabanic acid NIST,1810,30,WT
39,palmitoleic acid,2661,30,WT
40,palmitic acid,32150,30,WT
41,oxoproline,249082,30,WT
42,oxalic acid,633,30,WT
43,orotic acid,6876,30,WT
44,ornithine,292640,30,WT
45,oleic acid,624,30,WT
46,N-methylalanine,8833,30,WT
47,nicotinic acid,2927,30,WT
48,nicotinamide,1198,30,WT
49,n-epsilon-trimethyllysine,848,30,WT
50,N-carbamylglutamate,452,30,WT
51,myristic acid,1351,30,WT
52,myo-inositol,10893,30,WT
53,methionine sulfoxide,57387,30,WT
54,methionine,5804,30,WT
55,methanolphosphate,10500,30,WT
56,malic acid,9266,30,WT
57,maleimide,2483,30,WT
58,lysine,1357039,30,WT
59,levoglucosan,664,30,WT
60,leucine,477039,30,WT
61,lauric acid,4192,30,WT
62,lactulose,229,30,WT
63,lactic acid,1422,30,WT
64,isothreonic acid,1431,30,WT
65,isoleucine,303648,30,WT
66,isocitric acid,1305,30,WT
67,inositol-4-monophosphate,485,30,WT
68,inosine,418,30,WT
69,hydroxylamine,9167,30,WT
70,hydroxycarbamate NIST,1258,30,WT
71,homoserine,798,30,WT
72,histidine,126151,30,WT
73,hexose-6-phosphate,417,30,WT
74,heptadecanoic acid,1650,30,WT
75,guanosine,873,30,WT
76,guanine,1018,30,WT
77,glycyl-proline,2154,30,WT
78,glycyl tyrosine,696,30,WT
79,glycolic acid,1587,30,WT
80,glycine,99773,30,WT
81,glycerol-alpha-phosphate,27061,30,WT
82,glycerol-3-galactoside,1059,30,WT
83,glycerol,1040864,30,WT
84,glyceric acid,1952,30,WT
85,glutamine,89495,30,WT
86,glutamic acid,627709,30,WT
87,glucose-6-phosphate,409,30,WT
88,glucose-1-phosphate,1556,30,WT
89,glucose,2513,30,WT
90,gluconic acid,336,30,WT
91,galactose,1498,30,WT
92,galactinol,31112,30,WT
93,fumaric acid,10005,30,WT
94,fructose-6-phosphate,230,30,WT
95,fructose,197,30,WT
96,ethanol phosphate NIST,1572,30,WT
97,ergosterol,508,30,WT
98,cytidine-5-monophosphate,776,30,WT
99,cysteine-glycine,1827,30,WT
100,cysteine,1114,30,WT
101,conduritol-beta-epoxide,273,30,WT
102,citrulline,22078,30,WT
103,citric acid,92016,30,WT
104,butyrolactam NIST,1496,30,WT
105,"butane-2,3-diol NIST",690,30,WT
106,biphenyl,844,30,WT
107,beta-mannosylglycerate,2620,30,WT
108,beta-glycerolphosphate,789,30,WT
109,aspartic acid,83352,30,WT
110,asparagine,16683,30,WT
111,arachidic acid,3573,30,WT
112,aminomalonate,5466,30,WT
113,alpha-ketoglutarate,203,30,WT
114,allothreonine,18960,30,WT
115,alanine-alanine,2947,30,WT
116,alanine,564008,30,WT
117,adrenaline,1676,30,WT
118,adenosine-5-monophosphate,17647,30,WT
119,adenosine,3488,30,WT
120,adenine,276,30,WT
121,aconitic acid,525,30,WT
122,5-methoxytryptamine,1322,30,WT
123,5'-deoxy-5'-methylthioadenosine,592,30,WT
124,4-aminobutyric acid,3039,30,WT
125,3-phosphoglycerate,2541,30,WT
126,3-hydroxy-3-methylglutaric acid,303,30,WT
127,3-aminoisobutyric acid,224,30,WT
128,2-methylglyceric acid NIST,4344,30,WT
129,2-hydroxyglutaric acid,374,30,WT
130,"2,5-dihydroxypyrazine NIST",1860,30,WT
0,xanthine,690,30,WT
1,valine,394642,30,WT
2,uridine-5'-monophosphate,2408,30,WT
3,uridine,32,30,WT
4,urea,2626,30,WT
5,uracil,2932,30,WT
6,UDP-N-acetylglucosamine,929,30,WT
7,tyrosol,2123,30,WT
8,tyrosine,146708,30,WT
9,tryptophan,10464,30,WT
10,trehalose-6-phosphate,454,30,WT
11,trehalose,615453,30,WT
12,trans-4-hydroxyproline,3251,30,WT
13,thymine,462,30,WT
14,threonine,113742,30,WT
15,sulfuric acid,617,30,WT
16,sucrose,331,30,WT
17,succinic acid,26868,30,WT
18,stearic acid,208003,30,WT
19,spermidine,3944,30,WT
20,sorbitol,770,30,WT
21,serine,151387,30,WT
22,saccharopine,15476,30,WT
23,ribonic acid,386,30,WT
24,ribitol,570,30,WT
25,pyruvic acid,314,30,WT
26,pyrophosphate ,71494,30,WT
27,putrescine,2344,30,WT
28,pseudo uridine,1488,30,WT
29,"propane-1,3-diol NIST",308,30,WT
30,proline,534179,30,WT
31,pipecolinic acid,3590,30,WT
32,phosphogluconic acid,667,30,WT
33,phosphoenolpyruvate,834,30,WT
34,phosphate,31014,30,WT
35,phenylalanine,115666,30,WT
36,pentadecanoic acid,1525,30,WT
37,pelargonic acid,24591,30,WT
38,parabanic acid NIST,1484,30,WT
39,palmitoleic acid,4445,30,WT
40,palmitic acid,28291,30,WT
41,oxoproline,210634,30,WT
42,oxalic acid,263,30,WT
43,orotic acid,5142,30,WT
44,ornithine,288460,30,WT
45,oleic acid,2175,30,WT
46,N-methylalanine,12851,30,WT
47,nicotinic acid,532,30,WT
48,nicotinamide,1202,30,WT
49,n-epsilon-trimethyllysine,983,30,WT
50,N-carbamylglutamate,398,30,WT
51,myristic acid,1037,30,WT
52,myo-inositol,11774,30,WT
53,methionine sulfoxide,47769,30,WT
54,methionine,8214,30,WT
55,methanolphosphate,8936,30,WT
56,malic acid,10218,30,WT
57,maleimide,2330,30,WT
58,lysine,1337500,30,WT
59,levoglucosan,618,30,WT
60,leucine,499515,30,WT
61,lauric acid,5663,30,WT
62,lactulose,274,30,WT
63,lactic acid,1535,30,WT
64,isothreonic acid,1159,30,WT
65,isoleucine,302608,30,WT
66,isocitric acid,1144,30,WT
67,inositol-4-monophosphate,503,30,WT
68,inosine,441,30,WT
69,hydroxylamine,7400,30,WT
70,hydroxycarbamate NIST,415,30,WT
71,homoserine,798,30,WT
72,histidine,141303,30,WT
73,hexose-6-phosphate,622,30,WT
74,heptadecanoic acid,1137,30,WT
75,guanosine,589,30,WT
76,guanine,859,30,WT
77,glycyl-proline,1751,30,WT
78,glycyl tyrosine,725,30,WT
79,glycolic acid,1275,30,WT
80,glycine,144122,30,WT
81,glycerol-alpha-phosphate,39905,30,WT
82,glycerol-3-galactoside,747,30,WT
83,glycerol,655081,30,WT
84,glyceric acid,1178,30,WT
85,glutamine,83390,30,WT
86,glutamic acid,673432,30,WT
87,glucose-6-phosphate,1162,30,WT
88,glucose-1-phosphate,1581,30,WT
89,glucose,1563,30,WT
90,gluconic acid,373,30,WT
91,galactose,506,30,WT
92,galactinol,26668,30,WT
93,fumaric acid,9847,30,WT
94,fructose-6-phosphate,798,30,WT
95,fructose,261,30,WT
96,ethanol phosphate NIST,2581,30,WT
97,ergosterol,235,30,WT
98,cytidine-5-monophosphate,690,30,WT
99,cysteine-glycine,1534,30,WT
100,cysteine,1589,30,WT
101,conduritol-beta-epoxide,326,30,WT
102,citrulline,11823,30,WT
103,citric acid,76255,30,WT
104,butyrolactam NIST,1990,30,WT
105,"butane-2,3-diol NIST",578,30,WT
106,biphenyl,555,30,WT
107,beta-mannosylglycerate,2101,30,WT
108,beta-glycerolphosphate,661,30,WT
109,aspartic acid,68449,30,WT
110,asparagine,15936,30,WT
111,arachidic acid,2398,30,WT
112,aminomalonate,3650,30,WT
113,alpha-ketoglutarate,415,30,WT
114,allothreonine,25667,30,WT
115,alanine-alanine,2191,30,WT
116,alanine,664138,30,WT
117,adrenaline,1467,30,WT
118,adenosine-5-monophosphate,12932,30,WT
119,adenosine,3312,30,WT
120,adenine,5903,30,WT
121,aconitic acid,577,30,WT
122,5-methoxytryptamine,1070,30,WT
123,5'-deoxy-5'-methylthioadenosine,768,30,WT
124,4-aminobutyric acid,5540,30,WT
125,3-phosphoglycerate,1694,30,WT
126,3-hydroxy-3-methylglutaric acid,361,30,WT
127,3-aminoisobutyric acid,459,30,WT
128,2-methylglyceric acid NIST,2554,30,WT
129,2-hydroxyglutaric acid,342,30,WT
130,"2,5-dihydroxypyrazine NIST",1008,30,WT
0,xanthine,451,30,WT
1,valine,329314,30,WT
2,uridine-5'-monophosphate,5282,30,WT
3,uridine,302,30,WT
4,urea,16184,30,WT
5,uracil,1731,30,WT
6,UDP-N-acetylglucosamine,1328,30,WT
7,tyrosol,2379,30,WT
8,tyrosine,137967,30,WT
9,tryptophan,13835,30,WT
10,trehalose-6-phosphate,357,30,WT
11,trehalose,702342,30,WT
12,trans-4-hydroxyproline,3252,30,WT
13,thymine,401,30,WT
14,threonine,117117,30,WT
15,sulfuric acid,1090,30,WT
16,sucrose,146,30,WT
17,succinic acid,9501,30,WT
18,stearic acid,195106,30,WT
19,spermidine,3403,30,WT
20,sorbitol,868,30,WT
21,serine,135061,30,WT
22,saccharopine,16677,30,WT
23,ribonic acid,372,30,WT
24,ribitol,608,30,WT
25,pyruvic acid,188,30,WT
26,pyrophosphate ,156531,30,WT
27,putrescine,2930,30,WT
28,pseudo uridine,1285,30,WT
29,"propane-1,3-diol NIST",421,30,WT
30,proline,446162,30,WT
31,pipecolinic acid,2734,30,WT
32,phosphogluconic acid,836,30,WT
33,phosphoenolpyruvate,1279,30,WT
34,phosphate,23135,30,WT
35,phenylalanine,90337,30,WT
36,pentadecanoic acid,1311,30,WT
37,pelargonic acid,15739,30,WT
38,parabanic acid NIST,1725,30,WT
39,palmitoleic acid,561,30,WT
40,palmitic acid,25725,30,WT
41,oxoproline,217401,30,WT
42,oxalic acid,433,30,WT
43,orotic acid,10502,30,WT
44,ornithine,614603,30,WT
45,oleic acid,330,30,WT
46,N-methylalanine,15324,30,WT
47,nicotinic acid,2181,30,WT
48,nicotinamide,1335,30,WT
49,n-epsilon-trimethyllysine,782,30,WT
50,N-carbamylglutamate,497,30,WT
51,myristic acid,594,30,WT
52,myo-inositol,12864,30,WT
53,methionine sulfoxide,39845,30,WT
54,methionine,4338,30,WT
55,methanolphosphate,13505,30,WT
56,malic acid,9925,30,WT
57,maleimide,1228,30,WT
58,lysine,1154713,30,WT
59,levoglucosan,467,30,WT
60,leucine,381938,30,WT
61,lauric acid,4036,30,WT
62,lactulose,482,30,WT
63,lactic acid,782,30,WT
64,isothreonic acid,255,30,WT
65,isoleucine,240335,30,WT
66,isocitric acid,1408,30,WT
67,inositol-4-monophosphate,540,30,WT
68,inosine,382,30,WT
69,hydroxylamine,10395,30,WT
70,hydroxycarbamate NIST,1015,30,WT
71,homoserine,706,30,WT
72,histidine,192949,30,WT
73,hexose-6-phosphate,335,30,WT
74,heptadecanoic acid,1629,30,WT
75,guanosine,450,30,WT
76,guanine,942,30,WT
77,glycyl-proline,2056,30,WT
78,glycyl tyrosine,662,30,WT
79,glycolic acid,1048,30,WT
80,glycine,137763,30,WT
81,glycerol-alpha-phosphate,24800,30,WT
82,glycerol-3-galactoside,1017,30,WT
83,glycerol,609345,30,WT
84,glyceric acid,2586,30,WT
85,glutamine,104824,30,WT
86,glutamic acid,759476,30,WT
87,glucose-6-phosphate,663,30,WT
88,glucose-1-phosphate,2239,30,WT
89,glucose,4031,30,WT
90,gluconic acid,282,30,WT
91,galactose,2251,30,WT
92,galactinol,36682,30,WT
93,fumaric acid,8569,30,WT
94,fructose-6-phosphate,453,30,WT
95,fructose,181,30,WT
96,ethanol phosphate NIST,1989,30,WT
97,ergosterol,951,30,WT
98,cytidine-5-monophosphate,668,30,WT
99,cysteine-glycine,1347,30,WT
100,cysteine,778,30,WT
101,conduritol-beta-epoxide,308,30,WT
102,citrulline,33614,30,WT
103,citric acid,118225,30,WT
104,butyrolactam NIST,1328,30,WT
105,"butane-2,3-diol NIST",510,30,WT
106,biphenyl,976,30,WT
107,beta-mannosylglycerate,2828,30,WT
108,beta-glycerolphosphate,919,30,WT
109,aspartic acid,58628,30,WT
110,asparagine,13409,30,WT
111,arachidic acid,2485,30,WT
112,aminomalonate,4282,30,WT
113,alpha-ketoglutarate,203,30,WT
114,allothreonine,24275,30,WT
115,alanine-alanine,895,30,WT
116,alanine,544770,30,WT
117,adrenaline,1463,30,WT
118,adenosine-5-monophosphate,20445,30,WT
119,adenosine,2129,30,WT
120,adenine,11520,30,WT
121,aconitic acid,540,30,WT
122,5-methoxytryptamine,1769,30,WT
123,5'-deoxy-5'-methylthioadenosine,811,30,WT
